"","action","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","depth","transect_dist_m","collected_start","collected_end","bag_uid","bag_number","density_range","substrate.x","patchiness","adj_habitat_1","adj_habitat_2","sample_collected","vegetation_1","vegetation_2","comments","quality_log","substrate.y","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"11",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","21710","seagrass_habitat",3.9,"20 - 25","2022-08-12 11:32:00","2022-08-12 11:38:00","21710",12,NA,"sand,cobble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
"12",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6","2022-08-11",6,"faye,krystal","gillian","21702","seagrass_habitat",3.3,"25 - 30","2022-08-12 11:32:00","2022-08-12 11:38:00","21702",11,NA,"sand,cobble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.77933677,"-127.8720627",51.7794713,"-127.8719035"
"13",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","21670","seagrass_habitat",3.2,"0 - 5","2022-08-12 14:02:00","2022-08-12 14:12:00","21670",33,NA,"sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"14",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR6_5 - 10","seagrass_habitat",3.2,"5 - 10","2022-08-12 14:02:00","2022-08-12 14:12:00","2022-08-12_TRIQUET_BAY_INTERIOR6_5 - 10",NA,NA,"sand","< 1","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"15",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","21673","seagrass_habitat",3,"10 - 15","2022-08-12 14:02:00","2022-08-12 14:12:00","21673",37,NA,"sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"16",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR6_15 - 20","seagrass_habitat",3.3,"15 - 20","2022-08-12 14:02:00","2022-08-12 14:12:00","2022-08-12_TRIQUET_BAY_INTERIOR6_15 - 20",NA,NA,"sand","< 1","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"17",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","21687","seagrass_habitat",3.3,"20 - 25","2022-08-12 14:02:00","2022-08-12 14:12:00","21687",34,NA,"sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"18",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR6","2022-08-12",6,"carolyn,faye","gillian","21553","seagrass_habitat",3.3,"25 - 30","2022-08-12 14:02:00","2022-08-12 14:12:00","21553",36,NA,"sand","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.80825,"-128.23649",51.8087153,"-128.2474194"
"19",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","21677","seagrass_habitat",4.4,"0 - 5","2022-08-12 14:35:00","2022-08-12 14:42:00","21677",50,NA,"sand","< 1","seagrass",NA,TRUE,"agarum",NA,NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"20",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR5_5 - 10","seagrass_habitat",4.6,"5 - 10","2022-08-12 14:35:00","2022-08-12 14:42:00","2022-08-12_TRIQUET_BAY_INTERIOR5_5 - 10",NA,NA,"sand","< 1","seagrass",NA,FALSE,"agarum",NA,NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"21",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","21685","seagrass_habitat",4.7,"10 - 15","2022-08-12 14:35:00","2022-08-12 14:42:00","21685",30,NA,"sand","< 1","seagrass",NA,TRUE,"agarum",NA,NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"22",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR5_15 - 20","seagrass_habitat",4.8,"15 - 20","2022-08-12 14:35:00","2022-08-12 14:42:00","2022-08-12_TRIQUET_BAY_INTERIOR5_15 - 20",NA,NA,"sand","< 1","seagrass",NA,FALSE,"agarum",NA,NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"23",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","21683","seagrass_habitat",4.9,"20 - 25","2022-08-12 14:35:00","2022-08-12 14:42:00","21683",2,NA,"sand","< 1","seagrass",NA,TRUE,"agarum","des",NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"24",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR5","2022-08-12",5,"carolyn,faye","gillian","21675","seagrass_habitat",4.8,"25 - 30","2022-08-12 14:35:00","2022-08-12 14:42:00","21675",49,NA,"sand","< 1","seagrass",NA,TRUE,"agarum","des",NA,"1: QCd by CP","sand",51.80869,"-128.23586",51.808372,"-128.2363096"
"25",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","21681","seagrass_habitat",4.2,"0 - 5","2022-08-13 15:20:00","2022-08-13 15:28:00","21681",21,NA,"sand","< 1","seagrass",NA,TRUE,"agarum",NA,NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"26",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR4_5 - 10","seagrass_habitat",4.2,"5 - 10","2022-08-13 15:20:00","2022-08-13 15:28:00","2022-08-12_TRIQUET_BAY_INTERIOR4_5 - 10",NA,NA,"sand","< 1","seagrass",NA,FALSE,"agarum","des",NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"27",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","21679","seagrass_habitat",4.3,"10 - 15","2022-08-13 15:20:00","2022-08-13 15:28:00","21679",27,NA,"sand","< 1","seagrass",NA,TRUE,"agarum","des",NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"28",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","2022-08-12_TRIQUET_BAY_INTERIOR4_15 - 20","seagrass_habitat",4.4,"15 - 20","2022-08-13 15:20:00","2022-08-13 15:28:00","2022-08-12_TRIQUET_BAY_INTERIOR4_15 - 20",NA,NA,"sand","< 1","seagrass",NA,FALSE,"agarum","sacg",NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"29",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","21660","seagrass_habitat",4.5,"20 - 25","2022-08-13 15:20:00","2022-08-13 15:28:00","21660",22,NA,"sand","< 1","seagrass",NA,TRUE,"agarum","des",NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"30",NA,"HAKAI","CALVERT","MARINEGEO","TRIQUET_BAY","TRIQUET_BAY_INTERIOR4","2022-08-12",4,"carolyn,faye","gillian","21635","seagrass_habitat",4.4,"25 - 30","2022-08-13 15:20:00","2022-08-13 15:28:00","21635",19,NA,"sand","< 1","seagrass",NA,TRUE,"agarum","des",NA,"1: QCd by CP","sand",51.80917,"-128.23521",51.8093332,"-128.2351482"
"31",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","21688","seagrass_habitat",3.9,"0 - 5","2022-08-07 09:16:00","2022-08-07 09:30:00","21688",41,NA,"sand,shell hash","< 1","sand",NA,TRUE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"32",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","2022-08-07_CHOKED_PASS_EDGE1_5 - 10","seagrass_habitat",4,"5 - 10","2022-08-07 09:16:00","2022-08-07 09:30:00","2022-08-07_CHOKED_PASS_EDGE1_5 - 10",NA,NA,"sand,shell hash","< 1","sand",NA,FALSE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"33",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","21437","seagrass_habitat",4.2,"10 - 15","2022-08-07 09:16:00","2022-08-07 09:30:00","21437",42,NA,"sand,shell hash","< 1","sand",NA,TRUE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"34",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","2022-08-07_CHOKED_PASS_EDGE1_15 - 20","seagrass_habitat",4.3,"15 - 20","2022-08-07 09:16:00","2022-08-07 09:30:00","2022-08-07_CHOKED_PASS_EDGE1_15 - 20",NA,NA,"sand,shell hash","< 1","sand",NA,FALSE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"35",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","21718","seagrass_habitat",4.3,"20 - 25","2022-08-07 09:16:00","2022-08-07 09:30:00","21718",43,NA,"sand,shell hash","< 1","sand",NA,TRUE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"36",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","21762","seagrass_habitat",4.3,"25 - 30","2022-08-07 09:16:00","2022-08-07 09:30:00","21762",44,NA,"sand,shell hash","< 1","sand",NA,TRUE,"des",NA,NA,"1: QCd by CP","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"37",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","21336","seagrass_habitat",3.4,"0 - 5","2022-08-12 14:35:00","2022-08-12 14:42:00","21336",3,NA,"sand,pebble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"38",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_EDGE1_5 - 10","seagrass_habitat",3.5,"5 - 10","2022-08-12 14:35:00","2022-08-12 14:42:00","2022-08-09_KOEYE_ESTUARY_EDGE1_5 - 10",NA,NA,"sand,pebble","< 1","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"39",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","21546","seagrass_habitat",3.5,"10 - 15","2022-08-12 14:35:00","2022-08-12 14:42:00","21546",8,NA,"sand,pebble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"40",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_EDGE1_15 - 20","seagrass_habitat",3.5,"15 - 20","2022-08-12 14:35:00","2022-08-12 14:42:00","2022-08-09_KOEYE_ESTUARY_EDGE1_15 - 20",NA,NA,"sand,pebble","< 1","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"41",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","21527","seagrass_habitat",3.5,"20 - 25","2022-08-12 14:35:00","2022-08-12 14:42:00","21527",56,NA,"sand,pebble","1 - 2","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"42",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1","2022-08-09",1,"carolyn,krystal","kyle","21364","seagrass_habitat",3.6,"25 - 30","2022-08-12 14:35:00","2022-08-12 14:42:00","21364",58,NA,"sand,pebble","< 1","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78150021,"-127.865721",51.7814855,"-127.8659938"
"43",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","21440","seagrass_habitat",4.1,"0 - 5","2022-08-12 10:56:00","2022-08-12 11:05:00","21440",11,NA,"pebble,gravel","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"44",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_INTERIOR5_5 - 10","seagrass_habitat",4.3,"5 - 10","2022-08-12 10:56:00","2022-08-12 11:05:00","2022-08-09_KOEYE_ESTUARY_INTERIOR5_5 - 10",NA,NA,"pebble,gravel","2 - 3","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"45",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","21339","seagrass_habitat",4,"10 - 15","2022-08-12 10:56:00","2022-08-12 11:05:00","21339",40,NA,"pebble,gravel","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"46",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_INTERIOR5_15 - 20","seagrass_habitat",4.1,"15 - 20","2022-08-12 10:56:00","2022-08-12 11:05:00","2022-08-09_KOEYE_ESTUARY_INTERIOR5_15 - 20",NA,NA,"pebble,gravel","< 1","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"47",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","21320","seagrass_habitat",4.1,"20 - 25","2022-08-12 10:56:00","2022-08-12 11:05:00","21320",18,NA,"pebble,gravel","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"48",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5","2022-08-09",5,"carolyn,krystal","kyle","21420","seagrass_habitat",4,"25 - 30","2022-08-12 10:56:00","2022-08-12 11:05:00","21420",51,NA,"pebble,gravel","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78031615,"-127.8709314",51.7801791,"-127.8710927"
"49",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","21461","seagrass_habitat",3.9,"0 - 5","2022-08-12 14:02:00","2022-08-12 14:12:00","21461",6,NA,"sand,shell hash","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"50",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_INTERIOR4_5 - 10","seagrass_habitat",4.1,"5 - 10","2022-08-12 14:02:00","2022-08-12 14:12:00","2022-08-09_KOEYE_ESTUARY_INTERIOR4_5 - 10",NA,NA,"sand,pebble","< 1","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"51",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","21669","seagrass_habitat",4,"10 - 15","2022-08-12 14:02:00","2022-08-12 14:12:00","21669",43,NA,"sand,pebble","2 - 3","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"52",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","2022-08-09_KOEYE_ESTUARY_INTERIOR4_15 - 20","seagrass_habitat",4.1,"15 - 20","2022-08-12 14:02:00","2022-08-12 14:12:00","2022-08-09_KOEYE_ESTUARY_INTERIOR4_15 - 20",NA,NA,"sand,pebble","3 - 4","seagrass",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"53",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","21411","seagrass_habitat",4.2,"20 - 25","2022-08-12 14:02:00","2022-08-12 14:12:00","21411",47,NA,"sand,pebble","1 - 2","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"54",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4","2022-08-09",4,"carolyn,krystal","kyle","21519","seagrass_habitat",4.1,"25 - 30","2022-08-12 14:02:00","2022-08-12 14:12:00","21519",44,NA,"sand,pebble","< 1","seagrass",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78173578,"-127.8659518",51.7817186,"-127.8662255"
"55",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2","2022-08-11",2,"faye,krystal","gillian","21534","seagrass_habitat",3.8,"0 - 5","2022-08-13 15:20:00","2022-08-13 15:28:00","21534",9,NA,"gravel,cobble","4 - 5","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78018656,"-127.8706294",51.7800574,"-127.870801"
"56",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2","2022-08-11",2,"faye,krystal","gillian","2022-08-11_KOEYE_ESTUARY_EDGE2_5 - 10","seagrass_habitat",3.6,"5 - 10","2022-08-13 15:20:00","2022-08-13 15:28:00","2022-08-11_KOEYE_ESTUARY_EDGE2_5 - 10",NA,NA,"gravel,cobble","4 - 5","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78018656,"-127.8706294",51.7800574,"-127.870801"
"57",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2","2022-08-11",2,"faye,krystal","gillian","21413","seagrass_habitat",3.3,"10 - 15","2022-08-13 15:20:00","2022-08-13 15:28:00","21413",18,NA,"gravel,cobble","3 - 4","sand",NA,TRUE,NA,NA,NA,"1: QCd by CP","sand",51.78018656,"-127.8706294",51.7800574,"-127.870801"
"58",NA,"HAKAI","CALVERT","MARINEGEO","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2","2022-08-11",2,"faye,krystal","gillian","2022-08-11_KOEYE_ESTUARY_EDGE2_15 - 20","seagrass_habitat",3.9,"15 - 20","2022-08-13 15:20:00","2022-08-13 15:28:00","2022-08-11_KOEYE_ESTUARY_EDGE2_15 - 20",NA,NA,"gravel,cobble","4 - 5","sand",NA,FALSE,NA,NA,NA,"1: QCd by CP","sand",51.78018656,"-127.8706294",51.7800574,"-127.870801"
