"","action","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","depth","transect_dist_m","collected_start","collected_end","density","density__m2_","canopy_height_cm","flowering_shoots","comments","quality_log","substrate","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"19",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_0","seagrass_density",5.2,0,"5/27/2015 11:00","5/27/2015 0:00",9,144,170,NA,NA,"1: Note: heights with fish stick rather than measuring tape","sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"20",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_10","seagrass_density",5.5,10,"5/27/2015 11:02","5/27/2015 0:00",9,144,150,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"21",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_15","seagrass_density",5.5,15,"5/27/2015 11:03","5/27/2015 0:00",8,128,160,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"22",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_20","seagrass_density",5.8,20,"5/27/2015 11:04","5/27/2015 0:00",8,128,140,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"23",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_25","seagrass_density",5.8,25,"5/27/2015 11:05","5/27/2015 0:00",9,144,130,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"24",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_30","seagrass_density",6.1,30,"5/27/2015 11:06","5/27/2015 0:00",10,160,130,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"25",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_35","seagrass_density",6.1,35,"5/27/2015 11:07","5/27/2015 0:00",11,176,120,NA,NA,NA,"sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"26",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_40","seagrass_density",6.1,40,"5/27/2015 11:08","5/27/2015 0:00",10,160,130,NA,NA,"1: Des present","sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"27",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE3","2015-05-27",3,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE3_5","seagrass_density",5.5,5,"5/27/2015 11:01","5/27/2015 0:00",2,32,120,NA,NA,"1: Sandy patch 4m wide","sand",51.67492689,"-128.1237431",51.6750951,"-128.1237423"
"28",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_0","seagrass_density",4,0,"5/27/2015 12:29","5/27/2015 0:00",16,256,190,NA,NA,"1: Note: heights with fish stick rather than measuring tape","sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"29",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_10","seagrass_density",4.6,10,"5/27/2015 12:31","5/27/2015 0:00",15,240,210,NA,NA,"1: Des + pterogophora","sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"30",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_15","seagrass_density",4.6,15,"5/27/2015 12:32","5/27/2015 0:00",15,240,230,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"31",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_20","seagrass_density",4.3,20,"5/27/2015 12:33","5/27/2015 0:00",17,272,240,NA,NA,"1: Black RF","sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"32",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_25","seagrass_density",4,25,"5/27/2015 12:34","5/27/2015 0:00",14,224,210,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"33",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_30","seagrass_density",4,30,"5/27/2015 12:35","5/27/2015 0:00",13,208,220,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"34",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_35","seagrass_density",3.7,35,"5/27/2015 12:36","5/27/2015 0:00",14,224,200,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"35",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_40","seagrass_density",4,40,"5/27/2015 12:38","5/27/2015 0:00",16,256,230,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"36",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE7","2015-05-27",7,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE7_5","seagrass_density",4,5,"5/27/2015 12:30","5/27/2015 0:00",14,224,190,NA,NA,NA,"sand",51.67888847,"-128.1259801",51.6790564,"-128.1259781"
"37",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_0","seagrass_density",9.144,0,NA,NA,1,16,110,NA,NA,"1: zm out from dense and tall zostera",NA,NA,NA,NA,NA
"38",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_10","seagrass_density",9.144,10,NA,NA,6,96,92,NA,NA,"1: silty substrate",NA,NA,NA,NA,NA
"39",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_15","seagrass_density",9.144,15,NA,NA,4,64,108,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_20","seagrass_density",9.144,20,NA,NA,2,32,102,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_25","seagrass_density",8.8392,25,NA,NA,4,64,113,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_30","seagrass_density",8.8392,30,NA,NA,3,48,96,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_35","seagrass_density",8.8392,35,NA,NA,4,64,118,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_40","seagrass_density",9.144,40,NA,NA,6,96,112,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE11","2015-05-28",11,NA,"tristan","2015-05-28_CHOKED_PASS_EDGE11_5","seagrass_density",9.144,5,NA,NA,4,64,94,NA,NA,"1: lots of larval fish <6cm",NA,NA,NA,NA,NA
"46",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_0","seagrass_density",3.048,0,NA,NA,8,128,96,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"47",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_10","seagrass_density",3.3528,10,NA,NA,12,192,112,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"48",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_15","seagrass_density",3.3528,15,NA,NA,9,144,110,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"49",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_20","seagrass_density",3.6576,20,NA,NA,8,128,113,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"50",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_25","seagrass_density",3.3528,25,NA,NA,13,208,112,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"51",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_30","seagrass_density",3.3528,30,NA,NA,14,224,114,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"52",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_35","seagrass_density",3.3528,35,NA,NA,10,160,113,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"53",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_40","seagrass_density",3.6576,40,NA,NA,9,144,114,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"54",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2015-05-29",1,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE1_5","seagrass_density",3.048,5,NA,NA,0,0,0,NA,NA,NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"55",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_0","seagrass_density",5.1816,0,NA,NA,7,112,120,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_10","seagrass_density",4.2672,10,NA,NA,6,96,130,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_15","seagrass_density",4.572,15,NA,NA,7,112,114,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_20","seagrass_density",4.8768,20,NA,NA,8,128,116,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_25","seagrass_density",4.8768,25,NA,NA,7,112,112,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_30","seagrass_density",4.572,30,NA,NA,11,176,115,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_35","seagrass_density",5.4864,35,NA,NA,7,112,119,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_40","seagrass_density",5.1816,40,NA,NA,9,144,111,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE8","2015-05-29",8,NA,"tristan","2015-05-29_CHOKED_PASS_EDGE8_5","seagrass_density",4.8768,5,NA,NA,7,112,128,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_0","seagrass_density",6.4008,0,"5/31/2015 11:47","5/31/2015 11:57",6,96,127,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"65",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_10","seagrass_density",6.4008,10,"5/31/2015 11:47","5/31/2015 11:57",5,80,120,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"66",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_15","seagrass_density",6.4008,15,"5/31/2015 11:47","5/31/2015 11:57",4,64,118,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"67",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_20","seagrass_density",6.4008,20,"5/31/2015 11:47","5/31/2015 11:57",6,96,116,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"68",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_25","seagrass_density",6.4008,25,"5/31/2015 11:47","5/31/2015 11:57",5,80,117,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"69",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_30","seagrass_density",6.4008,30,"5/31/2015 11:47","5/31/2015 11:57",6,96,120,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"70",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_35","seagrass_density",6.4008,35,"5/31/2015 11:47","5/31/2015 11:57",5,80,119,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"71",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_40","seagrass_density",6.4008,40,"5/31/2015 11:47","5/31/2015 11:57",6,96,126,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"72",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR5","2015-05-31",5,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR5_5","seagrass_density",7.0104,5,"5/31/2015 11:47","5/31/2015 11:57",0,0,125,NA,NA,NA,"sand",51.67349206,"-128.1180197",51.6735758,"-128.1182532"
"73",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_0","seagrass_density",6.096,0,"5/31/2015 9:15","5/31/2015 9:26",8,128,125,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"74",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_10","seagrass_density",6.7056,10,"5/31/2015 9:15","5/31/2015 9:26",8,128,126,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"75",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_15","seagrass_density",7.0104,15,"5/31/2015 9:15","5/31/2015 9:26",6,96,118,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"76",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_20","seagrass_density",7.62,20,"5/31/2015 9:15","5/31/2015 9:26",10,160,120,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"77",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_25","seagrass_density",7.62,25,"5/31/2015 9:15","5/31/2015 9:26",5,80,126,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"78",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_30","seagrass_density",7.3152,30,"5/31/2015 9:15","5/31/2015 9:26",7,112,160,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"79",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_35","seagrass_density",7.3152,35,"5/31/2015 9:15","5/31/2015 9:26",0,0,120,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"80",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_40","seagrass_density",7.0104,40,"5/31/2015 9:15","5/31/2015 9:26",5,80,90,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
"81",NA,"HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6","2015-05-31",6,NA,"tristan","2015-05-31_CHOKED_PASS_INTERIOR6_5","seagrass_density",6.096,5,"5/31/2015 9:15","5/31/2015 9:26",8,128,128,NA,NA,NA,"sand",51.67482341,"-128.1194543",51.6749078,"-128.1192199"
